# t[s]      z(t) [m]
  0.344689  1.830059
  0.346693  1.837291
  0.348697  1.844483
  0.350701  1.851637
  0.352705  1.858750
  0.354709  1.865825
  0.356713  1.872860
  0.358717  1.879855
  0.360721  1.886812
  0.362725  1.893729
  0.364729  1.900606
  0.366733  1.907444
  0.368737  1.914243
  0.370741  1.921002
  0.372745  1.927722
  0.374749  1.934402
  0.376754  1.941043
  0.378758  1.947645
  0.380762  1.954207
  0.382766  1.960730
  0.384770  1.967213
  0.386774  1.973657
  0.388778  1.980062
  0.390782  1.986427
  0.392786  1.992753
  0.394790  1.999040
  0.396794  2.005287
  0.398798  2.011494
  0.400802  2.017663
  0.402806  2.023791
  0.404810  2.029881
  0.406814  2.035931
  0.408818  2.041942
  0.410822  2.047913
  0.412826  2.053845
  0.414830  2.059737
  0.416834  2.065590
  0.418838  2.071404
  0.420842  2.077178
  0.422846  2.082913
  0.424850  2.088609
  0.426854  2.094265
  0.428858  2.099882
  0.430862  2.105459
  0.432866  2.110997
  0.434870  2.116495
  0.436874  2.121954
  0.438878  2.127374
  0.440882  2.132754
  0.442886  2.138095
  0.444890  2.143397
  0.446894  2.148659
  0.448898  2.153882
  0.450902  2.159065
  0.452906  2.164209
  0.454910  2.169314
  0.456914  2.174379
  0.458918  2.179404
  0.460922  2.184391
  0.462926  2.189338
  0.464930  2.194245
  0.466934  2.199113
  0.468938  2.203942
  0.470942  2.208732
  0.472946  2.213482
  0.474950  2.218192
  0.476954  2.222863
  0.478958  2.227495
  0.480962  2.232087
  0.482966  2.236640
  0.484970  2.241154
  0.486974  2.245628
  0.488978  2.250063
  0.490982  2.254458
  0.492986  2.258814
  0.494990  2.263131
  0.496994  2.267408
  0.498998  2.271646
  0.501002  2.275844
  0.503006  2.280003
  0.505010  2.284123
  0.507014  2.288203
  0.509018  2.292244
  0.511022  2.296245
  0.513026  2.300207
  0.515030  2.304130
  0.517034  2.308013
  0.519038  2.311857
  0.521042  2.315661
  0.523046  2.319426
  0.525050  2.323152
  0.527054  2.326838
  0.529058  2.330485
  0.531062  2.334093
  0.533066  2.337661
  0.535070  2.341189
  0.537074  2.344678
  0.539078  2.348128
  0.541082  2.351539
  0.543086  2.354910
  0.545090  2.358241
  0.547094  2.361534
  0.549098  2.364787
  0.551102  2.368000
  0.553106  2.371174
  0.555110  2.374309
  0.557114  2.377404
  0.559118  2.380460
  0.561122  2.383476
  0.563126  2.386453
  0.565130  2.389391
  0.567134  2.392289
  0.569138  2.395148
  0.571142  2.397968
  0.573146  2.400748
  0.575150  2.403489
  0.577154  2.406190
  0.579158  2.408852
  0.581162  2.411474
  0.583166  2.414057
  0.585170  2.416601
  0.587174  2.419105
  0.589178  2.421570
  0.591182  2.423996
  0.593186  2.426382
  0.595190  2.428729
  0.597194  2.431036
  0.599198  2.433304
  0.601202  2.435532
  0.603206  2.437722
  0.605210  2.439871
  0.607214  2.441982
  0.609218  2.444053
  0.611222  2.446084
  0.613226  2.448076
  0.615230  2.450029
  0.617234  2.451942
  0.619238  2.453816
  0.621242  2.455651
  0.623246  2.457446
  0.625251  2.459202
  0.627255  2.460918
  0.629259  2.462595
  0.631263  2.464233
  0.633267  2.465831
  0.635271  2.467390
  0.637275  2.468909
  0.639279  2.470389
  0.641283  2.471829
  0.643287  2.473231
  0.645291  2.474592
  0.647295  2.475915
  0.649299  2.477198
  0.651303  2.478441
  0.653307  2.479646
  0.655311  2.480810
  0.657315  2.481936
  0.659319  2.483022
  0.661323  2.484068
  0.663327  2.485076
  0.665331  2.486043
  0.667335  2.486972
  0.669339  2.487861
  0.671343  2.488710
  0.673347  2.489521
  0.675351  2.490291
  0.677355  2.491023
  0.679359  2.491715
  0.681363  2.492368
  0.683367  2.492981
  0.685371  2.493555
  0.687375  2.494089
  0.689379  2.494584
  0.691383  2.495040
  0.693387  2.495456
  0.695391  2.495833
  0.697395  2.496170
  0.699399  2.496468
  0.701403  2.496727
  0.703407  2.496946
  0.705411  2.497126
  0.707415  2.497266
  0.709419  2.497368
  0.711423  2.497429
  0.713427  2.497451
  0.715431  2.497434
  0.717435  2.497378
  0.719439  2.497282
  0.721443  2.497147
  0.723447  2.496972
  0.725451  2.496758
  0.727455  2.496504
  0.729459  2.496211
  0.731463  2.495879
  0.733467  2.495507
  0.735471  2.495096
  0.737475  2.494646
  0.739479  2.494156
  0.741483  2.493627
  0.743487  2.493058
  0.745491  2.492450
  0.747495  2.491802
  0.749499  2.491115
  0.751503  2.490389
  0.753507  2.489623
  0.755511  2.488818
  0.757515  2.487974
  0.759519  2.487090
  0.761523  2.486167
  0.763527  2.485204
  0.765531  2.484202
  0.767535  2.483161
  0.769539  2.482080
  0.771543  2.480959
  0.773547  2.479800
  0.775551  2.478601
  0.777555  2.477362
  0.779559  2.476084
  0.781563  2.474767
  0.783567  2.473411
  0.785571  2.472014
  0.787575  2.470579
  0.789579  2.469104
  0.791583  2.467590
  0.793587  2.466036
  0.795591  2.464443
  0.797595  2.462811
  0.799599  2.461139
  0.801603  2.459428
  0.803607  2.457677
  0.805611  2.455887
  0.807615  2.454058
  0.809619  2.452189
  0.811623  2.450281
  0.813627  2.448333
  0.815631  2.446346
  0.817635  2.444320
  0.819639  2.442254
  0.821643  2.440149
  0.823647  2.438004
  0.825651  2.435820
  0.827655  2.433597
  0.829659  2.431334
  0.831663  2.429032
  0.833667  2.426690
  0.835671  2.424309
  0.837675  2.421889
  0.839679  2.419429
  0.841683  2.416930
  0.843687  2.414391
  0.845691  2.411814
  0.847695  2.409196
  0.849699  2.406539
  0.851703  2.403843
  0.853707  2.401108
  0.855711  2.398333
  0.857715  2.395518
  0.859719  2.392665
  0.861723  2.389772
  0.863727  2.386839
  0.865731  2.383867
  0.867735  2.380856
  0.869739  2.377805
  0.871743  2.374715
  0.873747  2.371585
  0.875752  2.368416
  0.877756  2.365208
  0.879760  2.361960
  0.881764  2.358673
  0.883768  2.355347
  0.885772  2.351981
  0.887776  2.348576
  0.889780  2.345131
  0.891784  2.341647
  0.893788  2.338123
  0.895792  2.334560
  0.897796  2.330958
  0.899800  2.327316
  0.901804  2.323635
  0.903808  2.319915
  0.905812  2.316155
  0.907816  2.312356
  0.909820  2.308517
  0.911824  2.304639
  0.913828  2.300721
  0.915832  2.296764
  0.917836  2.292768
  0.919840  2.288733
  0.921844  2.284657
  0.923848  2.280543
  0.925852  2.276389
  0.927856  2.272196
  0.929860  2.267963
  0.931864  2.263691
  0.933868  2.259380
  0.935872  2.255029
  0.937876  2.250639
  0.939880  2.246209
  0.941884  2.241740
  0.943888  2.237232
  0.945892  2.232684
  0.947896  2.228096
  0.949900  2.223470
  0.951904  2.218804
  0.953908  2.214098
  0.955912  2.209354
  0.957916  2.204569
  0.959920  2.199746
  0.961924  2.194883
  0.963928  2.189980
  0.965932  2.185039
  0.967936  2.180057
  0.969940  2.175037
  0.971944  2.169977
  0.973948  2.164877
  0.975952  2.159739
  0.977956  2.154560
  0.979960  2.149343
  0.981964  2.144086
  0.983968  2.138789
  0.985972  2.133454
  0.987976  2.128078
  0.989980  2.122664
  0.991984  2.117210
  0.993988  2.111716
  0.995992  2.106184
  0.997996  2.100612
  1.000000  2.095000
